Comoros,0.9,32,7,2.5,-2,1.2,1.5,52,4.2,40,3,19,14,27,64,62,66,<0.1,<0.1,29,0,5.4,1318,3160
Djibouti,1.0,21,7,1.4,1,1.2,1.3,32,2.7,30,5,19,18,—,67,65,69,1.0,1.4,78,0,—,49400,5400
Eritrea,3.5,30,7,2.3,-10,4.7,6.0,33,4.0,42,4,8,7,20,66,64,68,0.5,0.9,41,0,—,514,—
Ethiopia,114.9,33,6,2.7,0,161.0,208.6,39,4.3,40,3,40,38,62,67,65,69,0.7,1.4,21,4,4.6,720,2140
Kenya,53.5,28,5,2.3,-0,71.9,89.7,35,3.5,39,3,63,61,79,69,67,70,3.4,6.1,32,11,3.6,923,4260
Madagascar,27.7,37,6,3.1,-0,43.7,61.3,40,4.6,40,3,44,41,65,67,66,69,0.4,0.2,38,12,4.5,923,1600
Malawi,19.1,34,7,2.7,-1,28.0,38.1,40,4.2,44,3,59,58,75,64,61,67,7.3,11.1,17,6,4.5,531,1070
Mauritius,1.3,10,9,0.1,-1,1.3,1.2,14.5,1.4,18,11,64,32,42,75,71,78,1.8,0.9,41,0,3.5,1687,24980
Mayotte,0.3,36,3,3.4,0,0.4,0.6,4,4.7,44,3,—,—,—,76,76,77,—,—,46,0,4.1,1647,—
Mozambique,31.2,39,11,2.8,-2,45.8,65.7,55,4.9,46,3,27,25,50,55,54,57,10.0,15.1,32,9,4.5,552,1290
Réunion,0.9,15,6,1.0,-1,0.9,1.0,7,2.4,22,13,—,—,—,82,79,85,—,—,100,0,2.6,2520,—
Rwanda,13.0,32,5,2.7,-1,17.9,23.0,28,4.0,40,3,53,48,66,69,67,71,1.8,3.2,18,9,4.0,1125,2070
Seychelles,0.1,16,8,0.8,-2,0.1,0.1,13.5,2.4,24,8,—,—,—,73,70,77,—,—,57,0,—,65333,26920
Somalia,15.9,42,11,3.1,-2,24.3,34.9,68,6.0,47,3,15,14,—,57,56,59,<0.1,0.1,46,14,—,1445,860
South Sudan,11.2,35,10,2.5,-13,15.3,20.0,63,4.7,42,3,—,5g,—,58,56,59,2.0,3.0,20,0,6.0,—,—
Tanzania,59.7,37,6,3.1,-1,90.4,129.4,40,4.9,44,3,38,32,53,65,63,67,3.5,5.7,35,12,4.7,442,3140
Uganda,45.7,39,6,3.3,1,69.5,97.7,45,5.0,47,2,42,36,54,63,61,65,4.4,7.1,24,7,4.5,663,1780
Zambia,18.4,37,6,3.1,0,28.8,42.5,42,4.7,44,2,50,48,69,64,61,67,8.8,13.8,44,15,5.0,484,3500
Zimbabwe,14.9,33,8,2.5,-6,20.0,26.3,47,3.9,42,3,67,66,85,61,60,63,10.0,15.4,32,9,4.0,372,3350
Middle Africa,180,42,9,3.3,-1,281,413,64,5.8,46,3,22,15,30,60,58,62,1.1,2.3,50,25,5.1,582,2866
Angola,32.5,44,9,3.5,0,53.3,82.2,66,6.1,48,2,14,13,24,61,59,63,1.2,2.7,63,25,4.8,664,6780
Cameroon,26.6,38,8,3.0,-0,39.4,55.0,48,4.8,42,3,19,15,36,62,60,63,2.4,4.7,57,29,5.0,429,3610
Central African Republic,4.8,35,12,2.3,-7,6.6,8.4,80,4.7,44,3,15,12,29,53,51,55,2.9,4.2,42,0,—,268,1030
Chad,16.9,43,11,3.2,0,26.2,37.5,72,5.9,48,2,6,5,18,58,56,59,1.1,1.5,23,9,5.8,325,1590
Congo,5.5,33,7,2.6,-1,7.9,10.7,34,4.4,42,3,30,19,39,64,63,66,1.6,3.7,67,63,4.3,1003,3000
Congo Dem. Rep.,89.6,44,9,3.5,-1,141.7,212.1,68,6.2,46,3,28,18,31,60,58,62,0.4,1.1,45,26,5.2,759,1070
Equatorial Guinea,1.4,33,9,2.4,12,2.2,2.9,65,4.5,37,2,13,10,21,59,58,60,5.9,8.8,72,0,6.4,1169,15750
Gabon,2.2,26,6,2.0,7,3.1,4.1,33,3.5,37,4,31,19,34,68,66,70,2.0,5.7,90,0,4.1,686,14110
São Tomé and Príncipe,0.2,26,6,2.0,-7,0.3,0.4,31,3.3,38,3,41,37,51,68,65,71,0.8,0.6,68,0,—,5256,4060
Southern Africa,68,20,9,1.1,3,79,87,25,2.4,29,6,56,55,78,64,61,67,15.0,25.6,64,32,3.3,496,12276
Botswana,2.3,21,9,1.2,3,2.8,3.2,28,2.5,31,5,67,—,—,64,62,66,16.2,24.6,70,0,3.5,899,17460
eSwatini,1.1,25,10,1.5,-6,1.2,1.3,45,2.6,34,4,66,66,81,58,56,60,19.2,34.8,24,0,4.0,631,8820
Lesotho,2.1,23,14,0.9,-4,2.3,2.4,62,2.7,32,5,65,65,80,54,51,58,18.5,28.8,29,0,3.7,517,3500
Namibia,2.5,28,8,2.0,-2,3.3,4.0,32,3.4,37,4,56,55,75,63,60,66,9.3,14.1,48,0,4.2,318,10490
South Africa,59.6,20,9,1.1,4,69.2,75.9,22,2.3,29,6,55,54,78,65,62,68,15.0,25.8,67,36,3.2,497,12530
AMERICAS,1019,14,7,0.8,1,1130,1193,12,1.9,22,11,76,70,—,77,74,80,—,—,80,41,3.1,294,33250
Northern America,368,11,8,0.3,3,406,435,6,1.7,18,17,77,68,—,79,77,81,—,—,82,47,2.6,187,62327
Canada,38.2,10,8,0.2,14,43.8,48.8,4.7,1.5,16,18,85g,—,—,82,80,84,—,—,81,46,2.5,98,49430
United States of America,329.9,12,9,0.3,2,361.8,385.7,5.7,1.7,18,16,76,68,—,79,76,81,—,—,82,47,2.6,209,63780
Latin America and the Caribbean,651,16,6,1.0,-1,724,759,14,2.0,24,9,76,71,—,76,72,79,—,—,79,37,3.4,432,15944
Central America,179,18,6,1.2,-0,203,216,13,2.2,28,7,71,67,—,75,72,78,0.4,0.1,69,34,3.9,618,17137
Belize,0.4,20,5,1.5,3,0.5,0.6,13,2.3,36,4,51,49,66,74,71,77,2.0,1.8,45,0,3.8,466,6650
Costa Rica,5.1,13,5,0.8,3,5.7,6.1,8.3,1.6,22,9,71,69,83,80,78,83,0.7,0.2,73,28,3.2,2040,18670
El Salvador,6.5,19,6,1.3,-4,6.6,6.1,12,2.1,26,8,72,68,82,75,71,78,0.7,0.4,70,17,3.6,898,8320
Guatemala,18.1,22,5,1.7,0,23.4,27.7,20,2.7,37,5,61,49,66,74,70,77,0.4,0.3,51,16,4.8,2096,8500
Honduras,9.9,19,5,1.4,-2,11.6,12.7,15,2.2,30,5,73,64,76,74,71,78,0.4,0.3,55,15,4.4,967,5350
Mexico,127.8,17,6,1.2,-0,141.9,148.2,11,2.1,27,7,73,70,—,75,72,78,0.4,<0.1,73,40,3.7,535,19870
Nicaragua,6.6,21,4,1.8,5,7.7,8.5,16,2.4,31,5,80,77,90,75,71,78,0.3,0.1,59,17,—,439,5700
Panama,4.3,19,5,1.4,1,5.2,5.8,14,2.4,26,8,51,47,63,79,76,82,1.2,0.6,69,43,3.5,758,29340
Caribbean,43,16,8,0.8,-4,45,46,32,2.1,24,10,58,56,71,73,71,75,1.2,1.1,71,24,—,—,12269
Antigua and Barbuda,0.1,11,6,0.4,0,0.1,0.1,9,2.0,21,9,—,—,—,77,76,78,1.4,0.7,25,0,—,2452,20520
